retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
05/04/2023 07:17,TH-13,Khlong Luang,Pathum Thani,Thailand,53,p2,29,1010,89,2.06,140
05/04/2023 07:18,TH-16,Ban Mi,Lop Buri,Thailand,85,p2,30,1009,72,3.21,163
05/04/2023 07:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,30,1009,71,3.54,159
05/04/2023 07:19,TH-21,Ban Khai,Rayong,Thailand,51,p2,30,1010,85,1.69,218
05/04/2023 07:19,TH-20,Na Kluea,Chon Buri,Thailand,38,p2,28,1010,77,3.54,194
05/04/2023 07:20,TH-50,Chiang Mai,Chiang Mai,Thailand,73,p2,26,992,86,2.06,240
05/05/2023 07:20,TH-52,Hang Chat,Lampang,Thailand,167,p2,30,1006,47,1.02,262
05/05/2023 08:15,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,31,1006,70,3.6,190
05/05/2023 08:15,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,31,1007,58,2.52,203
05/05/2023 08:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,62,p2,32,1007,70,2.06,170
05/05/2023 08:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,67,p2,30,1007,58,3.91,199
05/05/2023 08:17,TH-13,Khlong Luang,Pathum Thani,Thailand,45,p2,32,1007,80,2.06,170
05/05/2023 08:18,TH-16,Ban Mi,Lop Buri,Thailand,83,p2,32,1006,60,4.72,191
05/05/2023 08:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,32,1006,58,4.7,193
05/05/2023 08:19,TH-21,Ban Khai,Rayong,Thailand,21,p2,31,1008,79,4.17,191
05/05/2023 08:19,TH-20,Na Kluea,Chon Buri,Thailand,55,p2,32,1007,70,4.95,192
05/05/2023 08:20,TH-52,Hang Chat,Lampang,Thailand,171,p2,32,1006,46,1.18,259
05/05/2023 08:20,TH-50,Chiang Mai,Chiang Mai,Thailand,140,p2,30,988,61,1.03,0
05/05/2023 09:15,TH-11,Bang Phli,Samut Prakan,Thailand,61,p2,33,1007,62,3.09,200
05/05/2023 09:15,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,33,1007,52,2.26,209
05/05/2023 09:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,61,p2,33,1007,64,2.57,190
05/05/2023 09:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,65,p2,34,1007,49,3.93,209
05/05/2023 09:17,TH-13,Khlong Luang,Pathum Thani,Thailand,49,p2,34,1008,68,2.57,190
05/05/2023 09:18,TH-16,Ban Mi,Lop Buri,Thailand,83,p2,33,1006,51,4.58,199
05/05/2023 09:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,33,1006,49,4.61,200
05/05/2023 09:19,TH-21,Ban Khai,Rayong,Thailand,21,p2,32,1008,74,4.13,191
05/05/2023 09:19,TH-20,Na Kluea,Chon Buri,Thailand,55,p2,34,1007,65,4.57,194
05/05/2023 09:20,TH-52,Hang Chat,Lampang,Thailand,159,p2,33,1006,35,1.19,250
05/05/2023 09:20,TH-50,Chiang Mai,Chiang Mai,Thailand,133,p2,30,990,53,1.03,0
05/05/2023 10:15,TH-11,Bang Phli,Samut Prakan,Thailand,59,p2,33,1007,62,3.09,200
05/05/2023 10:15,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,34,1006,46,2.33,201
05/05/2023 10:16,TH-13,Khlong Luang,Pathum Thani,Thailand,50,p2,35,1008,68,3.6,240
05/05/2023 10:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,60,p2,35,1007,53,3.6,240
05/05/2023 10:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,72,p2,35,1006,41,4,213
05/05/2023 10:18,TH-16,Ban Mi,Lop Buri,Thailand,99,p2,33,1006,51,4.58,199
05/05/2023 10:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,33,1006,49,4.61,200
05/05/2023 10:19,TH-21,Ban Khai,Rayong,Thailand,46,p2,34,1008,66,4.35,193
05/05/2023 10:19,TH-20,Na Kluea,Chon Buri,Thailand,74,p2,35,1007,62,4.7,201
05/05/2023 10:20,TH-52,Hang Chat,Lampang,Thailand,151,p2,35,1006,34,1.43,238
05/05/2023 10:20,TH-50,Chiang Mai,Chiang Mai,Thailand,138,p2,31,1008,58,1.54,0
05/05/2023 11:15,TH-11,Bang Phli,Samut Prakan,Thailand,62,p2,34,1007,55,2.57,250
05/05/2023 11:15,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,35,1006,41,2.89,190
05/05/2023 11:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,62,p2,36,1007,47,4.12,240
05/05/2023 11:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,74,p2,37,1005,36,4.03,214
